Item,Year,Month,Day,Weekday,Period,Hour,Min,Sec,Transaction,Item_Price,Q4_label,0
Afternoon with the baker,2017,2,14,Tuesday,morning,8,56,50,6545,1.9,food,1
Afternoon with the baker,2017,2,14,Tuesday,afternoon,15,11,16,6578,1.9,food,1
Afternoon with the baker,2017,2,12,Sunday,evening,18,37,47,6482,1.9,food,1
Afternoon with the baker,2017,1,6,Friday,afternoon,14,17,59,4263,1.9,food,1
Alfajores,2017,1,12,Thursday,morning,10,55,57,4565,7.76,drink,2
Alfajores,2017,1,13,Friday,afternoon,14,26,26,4629,7.76,drink,2
Alfajores,2016,12,9,Friday,afternoon,14,49,47,2877,7.76,drink,2
Alfajores,2016,12,11,Sunday,afternoon,13,8,4,3005,7.76,drink,2
Alfajores,2016,11,17,Thursday,afternoon,12,56,27,1514,7.76,drink,2
Alfajores,2016,11,18,Friday,afternoon,14,58,40,1608,7.76,drink,2
Alfajores,2016,12,5,Monday,afternoon,16,23,40,2681,7.76,drink,2
Alfajores,2016,11,26,Saturday,afternoon,16,47,49,2156,7.76,drink,2
Alfajores,2016,11,25,Friday,afternoon,15,53,37,2059,7.76,drink,2
Alfajores,2016,11,20,Sunday,morning,11,0,35,1737,7.76,drink,2
Alfajores,2017,2,16,Thursday,morning,11,38,33,6639,7.76,drink,2
Alfajores,2017,2,8,Wednesday,afternoon,12,4,50,6217,7.76,drink,2
Alfajores,2017,2,9,Thursday,afternoon,13,44,56,6279,7.76,drink,2
Alfajores,2017,4,1,Saturday,afternoon,13,8,42,9207,7.76,drink,2
Alfajores,2017,2,22,Wednesday,morning,9,46,33,6991,7.76,drink,2
Alfajores,2017,2,22,Wednesday,morning,10,5,24,6992,7.76,drink,2
Alfajores,2017,2,19,Sunday,afternoon,13,49,43,6869,7.76,drink,2
Alfajores,2017,2,19,Sunday,morning,11,31,2,6846,7.76,drink,2
Alfajores,2016,11,6,Sunday,afternoon,16,51,30,736,7.76,drink,2
Alfajores,2016,11,8,Tuesday,afternoon,14,16,7,867,7.76,drink,2
Alfajores,2016,11,6,Sunday,afternoon,15,50,44,728,7.76,drink,2
Alfajores,2016,11,6,Sunday,afternoon,15,47,13,727,7.76,drink,2
Alfajores,2016,11,11,Friday,afternoon,12,19,46,1065,7.76,drink,2
Alfajores,2016,11,11,Friday,afternoon,16,39,33,1094,7.76,drink,2
Alfajores,2016,11,10,Thursday,afternoon,17,23,27,1007,7.76,drink,2
Alfajores,2016,12,16,Friday,morning,11,16,53,3253,7.76,drink,1
Alfajores,2016,12,16,Friday,afternoon,17,6,38,3309,7.76,drink,1
Alfajores,2016,12,16,Friday,afternoon,13,11,37,3274,7.76,drink,1
Alfajores,2016,12,16,Friday,afternoon,13,3,36,3271,7.76,drink,1
Alfajores,2016,12,15,Thursday,morning,8,58,26,3166,7.76,drink,1
Alfajores,2016,12,15,Thursday,afternoon,16,44,47,3213,7.76,drink,1
Alfajores,2016,12,14,Wednesday,morning,11,15,38,3130,7.76,drink,1
Alfajores,2016,12,14,Wednesday,afternoon,15,38,44,3160,7.76,drink,1
Alfajores,2016,12,14,Wednesday,afternoon,15,13,8,3156,7.76,drink,1
Alfajores,2016,12,14,Wednesday,afternoon,12,11,52,3139,7.76,drink,1
Alfajores,2016,12,13,Tuesday,morning,11,35,13,3088,7.76,drink,1
Alfajores,2016,12,13,Tuesday,morning,10,31,30,3081,7.76,drink,1
Alfajores,2016,12,13,Tuesday,afternoon,15,40,25,3106,7.76,drink,1
Alfajores,2016,12,12,Monday,morning,10,36,9,3033,7.76,drink,1
Alfajores,2016,12,11,Sunday,morning,10,55,19,2985,7.76,drink,1
Alfajores,2016,12,17,Saturday,afternoon,14,42,47,3361,7.76,drink,1
Alfajores,2016,12,17,Saturday,morning,11,4,18,3329,7.76,drink,1
Alfajores,2017,1,11,Wednesday,afternoon,13,32,0,4531,7.76,drink,1
Alfajores,2017,1,15,Sunday,afternoon,14,42,11,4759,7.76,drink,1
Alfajores,2017,1,17,Tuesday,afternoon,14,24,20,4846,7.76,drink,1
Alfajores,2017,1,17,Tuesday,afternoon,13,41,6,4843,7.76,drink,1
Alfajores,2017,1,16,Monday,afternoon,16,33,49,4813,7.76,drink,1
Alfajores,2017,1,16,Monday,afternoon,15,22,41,4804,7.76,drink,1
Alfajores,2017,1,15,Sunday,afternoon,16,10,50,4770,7.76,drink,1
Alfajores,2017,1,15,Sunday,afternoon,16,9,19,4769,7.76,drink,1
Alfajores,2017,1,15,Sunday,afternoon,14,18,51,4754,7.76,drink,1
Alfajores,2017,1,13,Friday,morning,11,48,57,4604,7.76,drink,1
Alfajores,2017,1,14,Saturday,morning,9,55,22,4656,7.76,drink,1
Alfajores,2017,1,14,Saturday,afternoon,15,48,35,4712,7.76,drink,1
Alfajores,2017,1,14,Saturday,afternoon,14,3,34,4699,7.76,drink,1
Alfajores,2017,1,14,Saturday,afternoon,14,1,27,4698,7.76,drink,1
Alfajores,2017,1,14,Saturday,afternoon,12,35,24,4683,7.76,drink,1
Alfajores,2017,1,14,Saturday,afternoon,12,23,26,4679,7.76,drink,1
Alfajores,2016,12,9,Friday,morning,11,2,1,2851,7.76,drink,1
Alfajores,2016,12,9,Friday,morning,10,58,25,2849,7.76,drink,1
Alfajores,2016,12,9,Friday,afternoon,16,18,1,2888,7.76,drink,1
Alfajores,2016,11,27,Sunday,afternoon,14,45,24,2211,7.76,drink,1
Alfajores,2016,11,30,Wednesday,afternoon,15,16,37,2356,7.76,drink,1
Alfajores,2016,11,30,Wednesday,afternoon,15,15,42,2355,7.76,drink,1
Alfajores,2016,11,30,Wednesday,afternoon,14,33,49,2352,7.76,drink,1
Alfajores,2016,11,29,Tuesday,afternoon,15,49,48,2312,7.76,drink,1
Alfajores,2016,11,27,Sunday,morning,11,49,49,2190,7.76,drink,1
Alfajores,2016,11,27,Sunday,morning,10,55,20,2172,7.76,drink,1
Alfajores,2016,11,27,Sunday,afternoon,12,30,35,2196,7.76,drink,1
Alfajores,2016,12,2,Friday,afternoon,14,8,33,2469,7.76,drink,1
Alfajores,2016,11,26,Saturday,afternoon,16,50,5,2157,7.76,drink,1
Alfajores,2016,11,26,Saturday,afternoon,16,7,29,2152,7.76,drink,1
Alfajores,2016,11,26,Saturday,afternoon,15,34,36,2149,7.76,drink,1
Alfajores,2016,11,26,Saturday,afternoon,14,56,1,2147,7.76,drink,1
Alfajores,2016,11,26,Saturday,afternoon,13,29,41,2130,7.76,drink,1
Alfajores,2016,11,26,Saturday,afternoon,13,13,51,2125,7.76,drink,1
Alfajores,2016,12,1,Thursday,afternoon,13,8,5,2391,7.76,drink,1
Alfajores,2016,12,3,Saturday,afternoon,14,55,47,2559,7.76,drink,1
Alfajores,2016,12,8,Thursday,afternoon,15,40,39,2826,7.76,drink,1
Alfajores,2016,12,5,Monday,morning,9,28,53,2638,7.76,drink,1
Alfajores,2016,12,7,Wednesday,morning,11,1,17,2756,7.76,drink,1
Alfajores,2016,12,7,Wednesday,afternoon,16,25,57,2787,7.76,drink,1
Alfajores,2016,12,6,Tuesday,morning,10,55,48,2705,7.76,drink,1
Alfajores,2016,12,6,Tuesday,morning,9,50,30,2690,7.76,drink,1
Alfajores,2016,12,6,Tuesday,afternoon,15,9,18,2735,7.76,drink,1
Alfajores,2016,12,6,Tuesday,afternoon,14,29,7,2734,7.76,drink,1
Alfajores,2016,12,5,Monday,afternoon,14,30,28,2672,7.76,drink,1
Alfajores,2016,12,3,Saturday,afternoon,15,50,17,2570,7.76,drink,1
Alfajores,2016,12,5,Monday,afternoon,14,15,37,2671,7.76,drink,1
Alfajores,2016,12,5,Monday,afternoon,12,58,48,2661,7.76,drink,1
Alfajores,2016,12,4,Sunday,afternoon,13,11,13,2603,7.76,drink,1
Alfajores,2016,12,4,Sunday,afternoon,12,6,34,2595,7.76,drink,1
Alfajores,2016,12,4,Sunday,afternoon,12,4,19,2594,7.76,drink,1
Alfajores,2016,12,3,Saturday,morning,11,21,47,2515,7.76,drink,1
Alfajores,2017,1,17,Tuesday,morning,9,55,12,4822,7.76,drink,1
Alfajores,2017,1,17,Tuesday,morning,11,16,53,4827,7.76,drink,1
Alfajores,2017,1,17,Tuesday,morning,11,24,24,4828,7.76,drink,1
Alfajores,2017,2,7,Tuesday,afternoon,16,47,37,6197,7.76,drink,1
Alfajores,2017,2,10,Friday,afternoon,14,27,41,6343,7.76,drink,1
Alfajores,2017,2,9,Thursday,afternoon,15,51,42,6292,7.76,drink,1
Alfajores,2017,2,8,Wednesday,morning,10,21,59,6208,7.76,drink,1
Alfajores,2017,2,8,Wednesday,morning,8,37,15,6203,7.76,drink,1
Alfajores,2017,2,7,Tuesday,morning,11,43,0,6171,7.76,drink,1
Alfajores,2017,2,7,Tuesday,afternoon,17,1,48,6198,7.76,drink,1
Alfajores,2017,2,7,Tuesday,afternoon,15,54,36,6194,7.76,drink,1
Alfajores,2017,2,10,Friday,morning,11,33,36,6314,7.76,drink,1
Alfajores,2017,2,7,Tuesday,afternoon,12,30,41,6177,7.76,drink,1
Alfajores,2017,2,6,Monday,afternoon,15,45,24,6140,7.76,drink,1
Alfajores,2017,2,6,Monday,afternoon,14,5,37,6126,7.76,drink,1
Alfajores,2017,2,5,Sunday,morning,10,49,43,6040,7.76,drink,1
Alfajores,2017,2,5,Sunday,morning,10,31,33,6038,7.76,drink,1
Alfajores,2017,2,5,Sunday,afternoon,14,32,55,6070,7.76,drink,1
Alfajores,2017,2,10,Friday,afternoon,15,50,54,6356,7.76,drink,1
Alfajores,2017,2,11,Saturday,afternoon,14,8,27,6412,7.76,drink,1
Alfajores,2017,2,5,Sunday,afternoon,13,29,19,6061,7.76,drink,1
Alfajores,2017,2,13,Monday,morning,10,3,37,6488,7.76,drink,1
Alfajores,2017,2,14,Tuesday,morning,9,33,15,6546,7.76,drink,1
Alfajores,2017,2,14,Tuesday,morning,8,31,38,6543,7.76,drink,1
Alfajores,2017,2,14,Tuesday,afternoon,16,29,36,6584,7.76,drink,1
Alfajores,2017,2,14,Tuesday,afternoon,15,55,47,6582,7.76,drink,1
Alfajores,2017,2,14,Tuesday,afternoon,15,21,41,6580,7.76,drink,1
Alfajores,2017,2,14,Tuesday,afternoon,12,16,43,6557,7.76,drink,1
Alfajores,2017,2,13,Monday,morning,9,47,21,6487,7.76,drink,1
Alfajores,2017,2,11,Saturday,afternoon,14,18,1,6413,7.76,drink,1
Alfajores,2017,2,13,Monday,afternoon,15,9,4,6529,7.76,drink,1
Alfajores,2017,2,13,Monday,afternoon,14,57,38,6526,7.76,drink,1
Alfajores,2017,2,13,Monday,afternoon,14,21,59,6524,7.76,drink,1
Alfajores,2017,2,12,Sunday,afternoon,15,34,48,6479,7.76,drink,1
Alfajores,2017,2,12,Sunday,afternoon,13,56,38,6471,7.76,drink,1
Alfajores,2017,2,11,Saturday,morning,10,36,34,6376,7.76,drink,1
Alfajores,2017,2,5,Sunday,afternoon,14,7,29,6066,7.76,drink,1
Alfajores,2017,2,5,Sunday,afternoon,12,58,48,6056,7.76,drink,1
Alfajores,2017,1,18,Wednesday,morning,11,55,47,4875,7.76,drink,1
Alfajores,2017,1,22,Sunday,afternoon,13,20,11,5160,7.76,drink,1
Alfajores,2017,1,28,Saturday,morning,9,1,6,5462,7.76,drink,1
Alfajores,2017,1,23,Monday,afternoon,15,33,8,5220,7.76,drink,1
Alfajores,2017,1,22,Sunday,morning,11,23,59,5138,7.76,drink,1
Alfajores,2017,1,22,Sunday,morning,9,57,56,5121,7.76,drink,1
Alfajores,2017,1,22,Sunday,afternoon,14,40,43,5168,7.76,drink,1
Alfajores,2017,1,22,Sunday,afternoon,13,42,37,5162,7.76,drink,1
Alfajores,2017,1,22,Sunday,afternoon,12,2,26,5144,7.76,drink,1
Alfajores,2017,2,1,Wednesday,afternoon,15,29,10,5764,7.76,drink,1
Alfajores,2017,1,21,Saturday,morning,11,42,20,5052,7.76,drink,1
Alfajores,2017,1,21,Saturday,morning,10,59,24,5041,7.76,drink,1
Alfajores,2017,1,21,Saturday,morning,9,57,39,5030,7.76,drink,1
Alfajores,2017,1,20,Friday,afternoon,14,37,52,4999,7.76,drink,1
Alfajores,2017,1,19,Thursday,morning,11,55,48,4921,7.76,drink,1
Alfajores,2017,1,19,Thursday,afternoon,13,43,11,4933,7.76,drink,1
Alfajores,2017,1,29,Sunday,afternoon,13,24,52,5601,7.76,drink,1
Alfajores,2017,2,1,Wednesday,afternoon,16,39,12,5773,7.76,drink,1
Alfajores,2017,2,5,Sunday,afternoon,12,22,47,6052,7.76,drink,1
Alfajores,2017,2,3,Friday,morning,11,24,44,5847,7.76,drink,1
Alfajores,2017,2,5,Sunday,afternoon,12,7,51,6049,7.76,drink,1
Alfajores,2017,2,4,Saturday,afternoon,17,3,43,5988,7.76,drink,1
Alfajores,2017,2,4,Saturday,afternoon,14,58,7,5969,7.76,drink,1
Alfajores,2017,2,4,Saturday,afternoon,12,24,46,5941,7.76,drink,1
Alfajores,2017,2,4,Saturday,afternoon,12,11,28,5938,7.76,drink,1
Alfajores,2017,2,3,Friday,morning,11,41,14,5851,7.76,drink,1
Alfajores,2017,2,3,Friday,morning,10,50,3,5838,7.76,drink,1
Alfajores,2017,2,1,Wednesday,morning,10,59,1,5734,7.76,drink,1
Alfajores,2017,2,3,Friday,afternoon,16,53,20,5888,7.76,drink,1
Alfajores,2017,2,2,Thursday,morning,10,50,50,5786,7.76,drink,1
Alfajores,2017,2,2,Thursday,afternoon,15,58,52,5818,7.76,drink,1
Alfajores,2017,2,2,Thursday,afternoon,15,15,8,5814,7.76,drink,1
Alfajores,2017,2,2,Thursday,afternoon,14,42,59,5811,7.76,drink,1
Alfajores,2017,2,2,Thursday,afternoon,12,21,56,5796,7.76,drink,1
Alfajores,2016,11,25,Friday,morning,11,40,12,2026,7.76,drink,1
Alfajores,2016,11,25,Friday,morning,11,39,21,2025,7.76,drink,1
Alfajores,2016,11,25,Friday,afternoon,17,12,9,2066,7.76,drink,1
Alfajores,2016,11,1,Tuesday,afternoon,15,2,23,242,7.76,drink,1
Alfajores,2016,11,2,Wednesday,afternoon,17,1,56,334,7.76,drink,1
Alfajores,2016,11,2,Wednesday,afternoon,16,54,35,333,7.76,drink,1
Alfajores,2016,11,2,Wednesday,afternoon,16,25,49,332,7.76,drink,1
Alfajores,2016,11,2,Wednesday,afternoon,15,46,22,330,7.76,drink,1
Alfajores,2016,11,2,Wednesday,afternoon,12,18,15,300,7.76,drink,1
Alfajores,2016,11,1,Tuesday,afternoon,16,7,11,247,7.76,drink,1
Alfajores,2016,11,1,Tuesday,afternoon,13,41,53,230,7.76,drink,1
Alfajores,2016,11,2,Wednesday,evening,18,40,2,339,7.76,drink,1
Alfajores,2016,11,1,Tuesday,afternoon,13,11,34,223,7.76,drink,1
Alfajores,2016,11,2,Wednesday,evening,18,13,4,337,7.76,drink,1
Alfajores,2016,11,2,Wednesday,morning,9,18,53,267,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,15,59,29,420,7.76,drink,1
Alfajores,2016,11,4,Friday,afternoon,16,56,18,518,7.76,drink,1
Alfajores,2016,11,4,Friday,afternoon,15,35,6,507,7.76,drink,1
Alfajores,2016,11,4,Friday,afternoon,15,31,51,506,7.76,drink,1
Alfajores,2016,11,4,Friday,afternoon,13,39,44,494,7.76,drink,1
Alfajores,2016,11,3,Thursday,morning,10,39,12,371,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,16,6,19,421,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,15,55,46,419,7.76,drink,1
Alfajores,2016,11,2,Wednesday,morning,10,53,48,286,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,15,23,33,412,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,15,6,48,410,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,14,41,13,405,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,14,40,15,404,7.76,drink,1
Alfajores,2016,11,3,Thursday,afternoon,14,16,50,402,7.76,drink,1
Alfajores,2016,11,2,Wednesday,morning,10,59,16,288,7.76,drink,1
Alfajores,2016,11,4,Friday,morning,11,42,12,482,7.76,drink,1
Alfajores,2016,11,4,Friday,afternoon,17,52,34,519,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,14,37,39,714,7.76,drink,1
Alfajores,2016,11,25,Friday,afternoon,17,10,20,2065,7.76,drink,1
Alfajores,2016,11,17,Thursday,afternoon,16,32,44,1544,7.76,drink,1
Alfajores,2016,11,18,Friday,evening,18,33,15,1627,7.76,drink,1
Alfajores,2016,11,18,Friday,afternoon,16,18,33,1620,7.76,drink,1
Alfajores,2016,11,18,Friday,afternoon,14,47,9,1606,7.76,drink,1
Alfajores,2016,11,17,Thursday,morning,11,56,3,1501,7.76,drink,1
Alfajores,2016,11,17,Thursday,morning,11,22,22,1496,7.76,drink,1
Alfajores,2016,11,17,Thursday,afternoon,16,36,2,1545,7.76,drink,1
Alfajores,2016,11,17,Thursday,afternoon,16,9,51,1541,7.76,drink,1
Alfajores,2016,11,19,Saturday,afternoon,13,10,41,1692,7.76,drink,1
Alfajores,2016,11,17,Thursday,afternoon,13,58,45,1528,7.76,drink,1
Alfajores,2016,11,17,Thursday,afternoon,12,49,2,1512,7.76,drink,1
Alfajores,2016,11,14,Monday,afternoon,13,9,13,1315,7.76,drink,1
Alfajores,2016,11,13,Sunday,morning,11,44,44,1230,7.76,drink,1
Alfajores,2016,11,13,Sunday,afternoon,13,39,25,1255,7.76,drink,1
Alfajores,2016,11,12,Saturday,morning,11,31,17,1140,7.76,drink,1
Alfajores,2016,11,18,Friday,morning,10,58,4,1574,7.76,drink,1
Alfajores,2016,11,19,Saturday,afternoon,15,46,3,1721,7.76,drink,1
Alfajores,2016,11,12,Saturday,morning,10,57,6,1130,7.76,drink,1
Alfajores,2016,11,21,Monday,afternoon,15,47,22,1841,7.76,drink,1
Alfajores,2016,11,24,Thursday,morning,10,23,10,1955,7.76,drink,1
Alfajores,2016,11,24,Thursday,morning,9,53,52,1947,7.76,drink,1
Alfajores,2016,11,24,Thursday,afternoon,15,33,37,1990,7.76,drink,1
Alfajores,2016,11,24,Thursday,afternoon,14,52,39,1985,7.76,drink,1
Alfajores,2016,11,23,Wednesday,afternoon,15,9,18,1926,7.76,drink,1
Alfajores,2016,11,22,Tuesday,afternoon,15,2,34,1876,7.76,drink,1
Alfajores,2016,11,21,Monday,afternoon,15,23,32,1838,7.76,drink,1
Alfajores,2016,11,19,Saturday,afternoon,16,17,23,1725,7.76,drink,1
Alfajores,2016,11,20,Sunday,morning,11,54,44,1752,7.76,drink,1
Alfajores,2016,11,20,Sunday,afternoon,15,13,5,1789,7.76,drink,1
Alfajores,2016,11,20,Sunday,afternoon,14,25,19,1779,7.76,drink,1
Alfajores,2016,11,20,Sunday,afternoon,14,13,23,1775,7.76,drink,1
Alfajores,2016,11,20,Sunday,afternoon,13,43,4,1772,7.76,drink,1
Alfajores,2016,11,20,Sunday,afternoon,12,25,9,1760,7.76,drink,1
Alfajores,2016,11,12,Saturday,morning,11,21,17,1138,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,15,47,59,1190,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,14,44,24,715,7.76,drink,1
Alfajores,2016,11,7,Monday,morning,9,29,14,743,7.76,drink,1
Alfajores,2016,11,8,Tuesday,morning,10,43,3,830,7.76,drink,1
Alfajores,2016,11,8,Tuesday,morning,10,7,31,825,7.76,drink,1
Alfajores,2016,11,8,Tuesday,afternoon,14,51,53,875,7.76,drink,1
Alfajores,2016,11,8,Tuesday,afternoon,12,33,17,853,7.76,drink,1
Alfajores,2016,11,7,Monday,morning,10,25,13,751,7.76,drink,1
Alfajores,2016,11,7,Monday,morning,9,52,43,747,7.76,drink,1
Alfajores,2016,11,7,Monday,afternoon,14,30,37,795,7.76,drink,1
Alfajores,2016,11,8,Tuesday,morning,11,36,17,843,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,17,15,54,737,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,16,15,53,733,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,16,11,45,732,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,15,56,59,730,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,15,52,34,729,7.76,drink,1
Alfajores,2016,11,6,Sunday,afternoon,14,55,50,719,7.76,drink,1
Alfajores,2016,11,8,Tuesday,morning,11,35,23,842,7.76,drink,1
Alfajores,2016,11,10,Thursday,afternoon,13,43,8,983,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,15,29,7,1185,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,13,12,14,1157,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,15,20,1,1183,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,15,9,52,1181,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,15,0,37,1178,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,14,42,31,1176,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,14,26,11,1174,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,13,16,38,1158,7.76,drink,1
Alfajores,2016,11,12,Saturday,afternoon,12,22,37,1150,7.76,drink,1
Alfajores,2016,11,10,Thursday,afternoon,14,4,40,986,7.76,drink,1
Alfajores,2016,11,11,Friday,morning,11,25,11,1052,7.76,drink,1
Alfajores,2016,11,11,Friday,afternoon,16,8,37,1089,7.76,drink,1
Alfajores,2016,11,11,Friday,afternoon,15,9,27,1088,7.76,drink,1
Alfajores,2016,11,10,Thursday,morning,10,3,59,956,7.76,drink,1
Alfajores,2016,11,10,Thursday,afternoon,16,4,37,999,7.76,drink,1
Alfajores,2016,11,10,Thursday,afternoon,14,9,27,989,7.76,drink,1
Alfajores,2017,2,14,Tuesday,morning,11,38,52,6553,7.76,drink,1
Alfajores,2017,2,15,Wednesday,afternoon,14,23,16,6617,7.76,drink,1
Alfajores,2017,2,15,Wednesday,afternoon,15,24,42,6622,7.76,drink,1
Alfajores,2017,2,15,Wednesday,afternoon,15,43,4,6625,7.76,drink,1
Alfajores,2017,3,3,Friday,morning,10,48,57,7469,7.76,drink,1
Alfajores,2017,4,1,Saturday,afternoon,15,44,7,9222,7.76,drink,1
Alfajores,2017,3,31,Friday,morning,11,29,57,9113,7.76,drink,1
Alfajores,2017,3,31,Friday,morning,10,56,2,9107,7.76,drink,1
Alfajores,2017,3,5,Sunday,afternoon,15,50,6,7661,7.76,drink,1
Alfajores,2017,3,4,Saturday,morning,10,1,39,7526,7.76,drink,1
Alfajores,2017,3,4,Saturday,morning,8,13,11,7512,7.76,drink,1
Alfajores,2017,3,3,Friday,afternoon,13,16,40,7492,7.76,drink,1
Alfajores,2017,4,1,Saturday,morning,11,27,2,9187,7.76,drink,1
Alfajores,2017,3,1,Wednesday,morning,9,57,31,7373,7.76,drink,1
Alfajores,2017,2,28,Tuesday,afternoon,15,57,43,7356,7.76,drink,1
Alfajores,2017,2,28,Tuesday,afternoon,15,7,31,7352,7.76,drink,1
Alfajores,2017,2,26,Sunday,morning,11,55,41,7234,7.76,drink,1
Alfajores,2017,2,26,Sunday,morning,11,30,41,7228,7.76,drink,1
Alfajores,2017,2,26,Sunday,afternoon,12,1,7,7237,7.76,drink,1
Alfajores,2017,4,1,Saturday,morning,10,28,45,9174,7.76,drink,1
Alfajores,2017,4,2,Sunday,afternoon,13,49,13,9263,7.76,drink,1
Alfajores,2017,2,25,Saturday,afternoon,12,8,54,7175,7.76,drink,1
Alfajores,2017,4,6,Thursday,morning,11,51,58,9473,7.76,drink,1
Alfajores,2017,4,8,Saturday,afternoon,16,30,32,9634,7.76,drink,1
Alfajores,2017,4,8,Saturday,afternoon,16,6,48,9628,7.76,drink,1
Alfajores,2017,4,8,Saturday,afternoon,13,50,39,9605,7.76,drink,1
Alfajores,2017,4,7,Friday,afternoon,16,29,52,9548,7.76,drink,1
Alfajores,2017,4,7,Friday,afternoon,15,26,46,9544,7.76,drink,1
Alfajores,2017,4,7,Friday,afternoon,13,45,41,9534,7.76,drink,1
Alfajores,2017,4,6,Thursday,morning,11,32,18,9469,7.76,drink,1
